StockCode,Description,SubCategory,Category
10002,INFLATABLE POLITICAL GLOBE,General,Miscellaneous
10133,COLOURING PENCILS BROWN TUBE,Stationery,Office
10135,COLOURING PENCILS BROWN TUBE,Stationery,Office
15034,PAPER POCKET TRAVELING FAN,Stationery,Office
15036,ASSORTED COLOURS SILK FAN,General,Miscellaneous
15039,SANDALWOOD FAN,General,Miscellaneous
15044B,BLUE PAPER PARASOL,Stationery,Office
15044D,RED PAPER PARASOL,Stationery,Office
15056BL,EDWARDIAN PARASOL BLACK,General,Miscellaneous
15056N,EDWARDIAN PARASOL NATURAL,General,Miscellaneous
15056P,EDWARDIAN PARASOL PINK,General,Miscellaneous
15056bl,EDWARDIAN PARASOL BLACK,General,Miscellaneous
15056n,EDWARDIAN PARASOL NATURAL,General,Miscellaneous
15058A,BLUE POLKADOT GARDEN PARASOL,General,Miscellaneous
15058B,PINK POLKADOT GARDEN PARASOL,General,Miscellaneous
15060B,FAIRY CAKE DESIGN UMBRELLA,General,Miscellaneous
16008,SMALL FOLDING SCISSOR(POINTED EDGE),General,Miscellaneous
16011,ANIMAL STICKERS,Stationery,Office
16016,LARGE CHINESE STYLE SCISSOR,General,Miscellaneous
16048,TEATIME ROUND PENCIL SHARPENER,Stationery,Office
16156L,"WRAP, CAROUSEL",General,Miscellaneous
16156S,WRAP PINK FAIRY CAKES,General,Miscellaneous
16161P,WRAP ENGLISH ROSE,General,Miscellaneous
16161U,WRAP SUKI AND FRIENDS,General,Miscellaneous
16162L,THE KING GIFT BAG,Bags,Accessories
16169K,WRAP FOLK ART,General,Miscellaneous
16169M,WRAP DAISY CARPET,General,Miscellaneous
16218,CARTOON  PENCIL SHARPENERS,Stationery,Office
16225,RATTLE SNAKE EGGS,General,Miscellaneous
16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery,Office
16236,KITTY PENCIL ERASERS,Stationery,Office
16237,SLEEPING CAT ERASERS,General,Miscellaneous
16238,PARTY TIME PENCIL ERASERS,Stationery,Office
16259,PIECE OF CAMO STATIONERY SET,General,Miscellaneous
17003,BROCADE RING PURSE,Bags,Accessories
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,General,Miscellaneous
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Lighting,Home Decor
17021,NAMASTE SWAGAT INCENSE,General,Miscellaneous
17084N,FAIRY DREAMS INCENSE,General,Miscellaneous
17091J,VANILLA INCENSE IN TIN,General,Miscellaneous
17096,ASSORTED LAQUERED INCENSE HOLDERS,General,Miscellaneous
18094C,WHITE AND BLUE CERAMIC OIL BURNER,General,Miscellaneous
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Lighting,Home Decor
18098C,PORCELAIN BUTTERFLY OIL BURNER,General,Miscellaneous
20615,BLUE POLKADOT PASSPORT COVER,General,Miscellaneous
20616,CHERRY BLOSSOM PASSPORT COVER,General,Miscellaneous
20618,QUEEN OF THE SKIES PASSPORT COVER,General,Miscellaneous
20619,TROPICAL PASSPORT COVER,General,Miscellaneous
