TransactionID,InvoiceNo,StockCode,Quantity,Price,InvoiceDate,CustomerID
1,554827,23082,96,3.29,2011-05-26 15:19:00,14646.0
2,540468,22325,3,3.36,2011-01-07 13:55:00,Unknown
3,553545,20685,1,16.63,2011-05-17 15:37:00,Unknown
4,543458,22382,2,1.65,2011-02-08 13:28:00,14587.0
5,561100,22029,12,0.42,2011-07-25 11:01:00,15289.0
6,562379,22619,4,3.75,2011-08-04 15:17:00,15134.0
7,575875,22130,12,1.38,2011-11-11 13:06:00,Unknown
8,577768,21648,1,2.46,2011-11-21 15:18:00,Unknown
9,556243,84748,1,7.46,2011-06-09 16:07:00,Unknown
10,563746,22356,10,0.85,2011-08-19 10:05:00,14745.0
11,576927,POST,6,18.0,2011-11-17 11:02:00,12567.0
12,545872,22534,5,0.42,2011-03-07 14:51:00,15752.0
13,559338,21864,1,1.63,2011-07-07 16:30:00,Unknown
14,C540246,22352,-1,2.55,2011-01-05 15:43:00,13081.0
15,574029,22090,12,2.95,2011-11-02 12:34:00,12955.0
16,568993,82616B,12,1.25,2011-09-29 16:51:00,15062.0
17,553895,22621,12,1.65,2011-05-19 17:18:00,15271.0
18,536592,85017A,1,0.85,2010-12-01 17:06:00,Unknown
19,579777,21172,1,4.13,2011-11-30 15:13:00,Unknown
20,576589,22141,6,2.1,2011-11-15 14:29:00,17659.0
21,569202,22025,1,0.83,2011-09-30 17:22:00,Unknown
22,577230,21588,1,2.55,2011-11-18 12:08:00,18034.0
23,557889,15036,12,0.83,2011-06-23 13:51:00,12412.0
24,566929,22867,96,1.85,2011-09-15 15:21:00,17428.0
25,575897,23571,12,1.65,2011-11-11 14:53:00,15492.0
26,536409,90199C,3,6.35,2010-12-01 11:45:00,17908.0
27,566281,23201,5,2.08,2011-09-11 14:15:00,12748.0
28,549302,22493,12,1.65,2011-04-08 08:25:00,14246.0
29,538518,21738,3,2.95,2010-12-12 16:14:00,14505.0
30,562934,21242,1,3.29,2011-08-10 16:56:00,Unknown
31,561007,15036,12,0.83,2011-07-22 15:21:00,15640.0
32,542623,85150,6,2.55,2011-01-31 09:41:00,17239.0
33,545530,16156L,25,0.42,2011-03-03 13:45:00,17416.0
34,553686,84987,12,1.45,2011-05-18 13:58:00,14911.0
35,565835,23330,3,1.25,2011-09-07 11:32:00,14452.0
36,564852,21908,7,2.1,2011-08-30 17:23:00,14976.0
37,571276,22680,1,1.25,2011-10-16 12:30:00,14702.0
38,577230,21819,2,0.39,2011-11-18 12:08:00,18034.0
39,573501,22070,4,3.75,2011-10-31 12:02:00,18055.0
40,546998,22061,2,9.95,2011-03-18 13:32:00,16023.0
41,545658,22133,1,0.85,2011-03-04 14:13:00,14670.0
42,545217,21803,1,0.42,2011-02-28 16:59:00,Unknown
43,546677,22844,12,7.65,2011-03-15 16:29:00,18144.0
44,578707,21411,1,4.25,2011-11-25 11:20:00,17870.0
45,549745,48184,2,7.95,2011-04-12 10:33:00,13577.0
46,547366,22078,20,2.1,2011-03-22 13:02:00,12831.0
47,576860,22553,8,1.65,2011-11-16 15:58:00,17602.0
48,546892,84849B,1,3.29,2011-03-17 18:20:00,Unknown
49,555742,17012C,24,0.85,2011-06-07 10:34:00,16949.0
50,562605,21507,12,0.42,2011-08-08 10:59:00,12530.0
51,546670,16161U,25,0.42,2011-03-15 15:37:00,13451.0
52,569643,23031,6,1.65,2011-10-05 12:31:00,15730.0
53,559143,22523,1,0.85,2011-07-06 14:04:00,15581.0
54,564820,21880,1,0.42,2011-08-30 12:16:00,Unknown
55,564650,21976,240,0.42,2011-08-26 14:17:00,14646.0
56,571746,22697,6,2.95,2011-10-19 10:56:00,17043.0
57,578677,22467,2,2.55,2011-11-24 19:30:00,15750.0
58,550471,22091,1,2.46,2011-04-18 13:52:00,Unknown
59,555017,22173,2,2.95,2011-05-31 11:14:00,16801.0
60,567180,22386,2,2.08,2011-09-18 14:56:00,17802.0
61,541695,85103,10,5.79,2011-01-20 18:01:00,Unknown
62,559692,23197,1,1.45,2011-07-11 15:52:00,Unknown
63,553340,20724,40,0.85,2011-05-16 12:20:00,15125.0
64,543648,21456,12,1.25,2011-02-11 08:45:00,15114.0
65,542622,22297,5,2.46,2011-01-31 09:09:00,Unknown
66,546651,22149,1,4.96,2011-03-15 14:17:00,Unknown
67,560052,47599A,12,2.1,2011-07-14 15:30:00,15187.0
68,565129,82484,2,7.95,2011-09-01 12:41:00,15719.0
69,579465,22809,2,2.95,2011-11-29 14:53:00,15790.0
70,560366,85231B,12,0.85,2011-07-18 12:19:00,16859.0
71,552977,21715,8,2.55,2011-05-12 14:13:00,18221.0
72,566224,84968A,1,12.75,2011-09-09 17:52:00,Unknown
73,549017,22568,4,3.75,2011-04-05 15:20:00,15145.0
74,557215,23123,12,0.83,2011-06-17 12:22:00,17677.0
75,577549,20975,2,0.65,2011-11-20 15:00:00,17841.0
76,544211,22747,6,2.1,2011-02-17 11:05:00,13018.0
77,546005,22854,4,4.95,2011-03-08 15:17:00,14426.0
78,564503,23313,5,4.95,2011-08-25 14:23:00,13971.0
79,542587,82483,16,4.95,2011-01-28 15:53:00,14401.0
80,541219,21195,29,1.63,2011-01-14 14:06:00,Unknown
81,542146,22424,2,12.75,2011-01-26 09:27:00,13405.0
82,C546168,22892,-12,1.25,2011-03-10 10:22:00,16670.0
83,571899,23328,1,3.75,2011-10-19 14:22:00,16885.0
84,545688,21894,1,1.25,2011-03-06 12:42:00,16033.0
85,545718,21115,2,6.75,2011-03-07 10:22:00,12614.0
86,557619,21086,6,0.65,2011-06-21 13:58:00,17757.0
87,559052,72816,1,2.46,2011-07-05 16:53:00,Unknown
88,576087,23480,8,3.75,2011-11-14 08:31:00,12689.0
89,559887,22116,3,0.79,2011-07-13 11:44:00,13263.0
90,546540,71459,144,0.72,2011-03-14 15:05:00,15061.0
91,564059,82494L,6,2.95,2011-08-22 14:35:00,15796.0
92,574709,22197,22,0.85,2011-11-06 14:14:00,17768.0
93,558686,21671,12,1.25,2011-07-01 11:33:00,17706.0
94,576677,22865,8,2.1,2011-11-16 12:03:00,16393.0
95,566913,21745,1,3.75,2011-09-15 14:07:00,17602.0
96,574076,22867,1,4.13,2011-11-02 15:38:00,Unknown
97,570887,22589,6,2.89,2011-10-13 10:25:00,17169.0
98,571183,23236,1,2.89,2011-10-14 11:08:00,14796.0
99,579430,22114,1,4.25,2011-11-29 13:06:00,12748.0
100,571158,22996,2,0.42,2011-10-14 10:25:00,14606.0
101,564866,21892,2,1.25,2011-08-31 10:40:00,14660.0
102,537226,22705,25,0.42,2010-12-06 08:34:00,15987.0
103,570598,21175,12,2.55,2011-10-11 11:55:00,14175.0
104,569716,22778,2,0.0,2011-10-06 08:17:00,15804.0
105,570715,23310,36,0.42,2011-10-12 10:23:00,18287.0
106,556932,22673,1,2.46,2011-06-15 15:41:00,Unknown
107,550527,22549,12,1.45,2011-04-19 10:48:00,12476.0
108,556484,22549,3,1.45,2011-06-12 13:17:00,16938.0
109,567385,23168,144,1.04,2011-09-20 10:27:00,14866.0
110,552231,47590A,2,5.45,2011-05-06 15:47:00,17364.0
111,551270,85231B,2,0.85,2011-04-27 12:35:00,15891.0
112,546843,20713,10,1.95,2011-03-17 12:40:00,12472.0
113,553857,84877A,24,1.25,2011-05-19 13:30:00,Unknown
114,546007,22502,1,10.79,2011-03-08 15:34:00,Unknown
115,579508,23494,1,12.46,2011-11-29 16:33:00,Unknown
116,559109,21090,2,0.39,2011-07-06 11:52:00,15021.0
117,574038,21314,8,2.1,2011-11-02 12:56:00,18164.0
118,569545,21775,1,2.46,2011-10-04 16:37:00,Unknown
119,563691,21669,12,1.25,2011-08-18 12:53:00,13668.0
120,553913,85066,4,12.75,2011-05-19 19:47:00,18109.0
121,559163,22917,1,1.63,2011-07-06 16:33:00,Unknown
122,555400,22847,9,14.95,2011-06-02 17:50:00,14088.0
123,567679,22241,1,1.25,2011-09-21 16:15:00,14606.0
124,559463,21464,2,4.25,2011-07-08 13:23:00,17965.0
125,561906,23307,24,0.55,2011-08-01 10:03:00,12921.0
